ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
1,AI Commons,,,"Collection, understanding and preparation of data",Beneficence,Beneficence; Responsibility; Trust,Does not apply,"4,7",Academic; NGO; Private,Website,Does not apply,https://ai-commons.org/,2016,"Jose Ignacio Diaz, Maria Axente, Tara Chklovski, Max Cappellari, Gilles Fayad, Mathilde Forslund, Uyi Stewart, Nishan Chelvachandran, Trent McConaghy",
2,The AI-RFX Procurement Framework,,,Deployment and monitoring,Non-Maleficence,Non-Maleficence; Safety; Responsibility,Does not apply,4,Academic; Private; Public,Practical Framework,Does not apply,https://ethical.institute/rfx.html,2018,The Institute for Ethical AI & Machine Learning,https://ethical.institute/
3,Towards a Principled Approach for Engineering Privacy by Design,Towards a Principled Approach for Engineering Privacy by Design,,Businness and problem understanding,Non-Maleficence,Privacy; Non-Maleficence; Accountability; Transparency,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1007/978-3-319-67280-9_9,2017,"Majed Alshammari, Andrew Simpson ",https://sci-hub.ru/10.1007/978-3-319-67280-9_9
4,DataMin,Data Minimisation: a Language-Based Approach (Long Version),,"Collection, understanding and preparation of data",Non-Maleficence,Privacy; Security,Does not apply,"2,8",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1611.05642,2016,"Thibaud Antignac, David Sands, Gerardo Schneider",https://arxiv.org/pdf/1801.02484v1.pdf
5,FactSheets,FactSheets: Increasing Trust in AI Services through Supplier's Declarations of Conformity,,Deployment and monitoring,Explicability,Transparency; Accountability; Traceability,Does not apply,4,Academic,Practical Framework,Does not apply,https://doi.org/10.48550/arXiv.1808.07261,2019,"Matthew Arnold, Rachel K. E. Bellamy, Michael Hind, Stephanie Houde, Sameep Mehta, Aleksandra Mojsilovic, Ravi Nair, Karthikeyan Natesan Ramamurthy, Darrell Reimer, Alexandra Olteanu, David Piorkowski, Jason Tsay, Kush R. Varshney",https://aifs360.mybluemix.net/
6,"The ""big red button"" is too late: an alternative model for the ethical evaluation of AI systems","The ""big red button"" is too late: an alternative model for the ethical evaluation of AI systems",,Deployment and monitoring,Beneficence,Auditability; Beneficence,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1007/s10676-018-9447-7,2018,"Thomas Arnold, Matthias Scheutz ","https://sci-hub.ru/10.1007/s10676-018-9447-7

https://markriedl.github.io/big-red-button/"
7,On Pixel-Wise Explanations for Non-Linear Classifier Decisions by Layer-Wise Relevance Propagation,On Pixel-Wise Explanations for Non-Linear Classifier Decisions by Layer-Wise Relevance Propagation,,Performance evaluation,Explicability,Explicability; Transparency,Computer Vision,3,Academic,Article; Code,Python,https://doi.org/10.1371/journal.pone.0130140,2015,"Sebastian Bach, Alexander Binder, Grégoire Montavon, Frederick Klauschen, Klaus-Robert Müller, Wojciech Samek ",
8,Model-Agnostic Private Learning via Stability,Model-Agnostic Private Learning via Stability,,Model setup and training,Non-Maleficence,Privacy,Binary Classification; Multi-class Classification,3,Academic,Code; Article,Unknown,https://doi.org/10.48550/arXiv.1803.05101,2018,"Raef Bassily, Om Thakkar, Abhradeep Thakurta",
9,Data Statements for NLP,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,,"Collection, understanding and preparation of data",Justice,Fairness; Inclusion,Natural Language Processing,4,Academic,Practical Framework,Does not apply,https://doi.org/10.1162/tacl_a_00041,2018,"Emily M. Bender, Batya Friedman",
10,Algorithmic Accountability and Public Reason,Algorithmic Accountability and Public Reason,,Businness and problem understanding,Justice,Responsibility; Accountability,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1007/s13347-017-0263-5,2018,Reuben Binns,
11,The ICO and artificial intelligence: The role of fairness in the GDPR framework,The ICO and artificial intelligence: The role of fairness in the GDPR framework,,Planning and design; Deployment and monitoring,Autonomy; Autonomy,Fairness; Privacy; Responsibility; Trust,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1016/j.clsr.2018.01.004,2018,Michael Butterworth,https://gdpr.eu/tag/gdpr/
12,Algorithmic Transparency method - Quantitative Input Influence (QII),Algorithmic Transparency via Quantitative Input Influence: Theory and Experiments with Learning Systems,,Performance evaluation,Explicability,Explicability; Transparency; Interpretability,Multi-class Classification,4,Academic,Article; Code,Python,https://doi.org/10.1109/SP.2016.42,2016,"Anupam Datta, Shayak Sen, Yair Zick","https://github.com/hovinh/QII

https://github.com/hovinh/IRIS_Transparency"
13,Practical verification of decision-making in agent-based autonomous systems,Practical verification of decision-making in agent-based autonomous systems,,Performance evaluation,Non-Maleficence,Autonomy; Auditability; Accountability,Does not apply,"3,4",Academic,Code; Article,Java,https://doi.org/10.1007/s10515-014-0168-9,2016,"Louise A. Dennis, Michael Fisher, Nicholas K. Lincoln, Alexei Lisitsa, Sandor M. Veres",https://github.com/mcapl/mcapl
14,Algorithmic Accountability: Journalistic Investigation of Computational Power Structures,Algorithmic Accountability: Journalistic Investigation of Computational Power Structures,,Deployment and monitoring,Justice,Transparency; Accountability,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1080/21670811.2014.976411,2015,Nicholas Diakopoulos,https://computingeverywhere.soc.northwestern.edu/wp-content/uploads/2017/07/Diakopoulos-Algorithmic-Accountability-Required.pdf
15,Principles for Accountable Algorithms and a Social Impact Statement for Algorithms,,,Businness and problem understanding; Deployment and monitoring,Justice; Non-Maleficence,Trust; Responsibility; Accountability,Does not apply,Does not apply,Academic,Principles,Does not apply,https://www.fatml.org/resources/principles-for-accountable-algorithms,2016,"Nicholas Diakopoulos, Sorelle Friedler, Marcelo Arenas, Solon Barocas, Michael Hay, Bill Howe, H. V. Jagadish, Kris Unsworth, Arnaud Sahuguet, Suresh Venkatasubramanian, Christo Wilson, Cong Yu, Bendert Zevenbergen",https://www.fatml.org/
